respondent_id,profile_level,format,experience,scenario_order,cat_1,cat_2,cat_3,cat_4,lying_1,lying_2,lying_3,lying_4,stealing_1,stealing_2,stealing_3,stealing_4
R0039,IIR1,text,moderate,Cat|Lying|Stealing,He kept the cat because he saw how sad the cat was while it was sitting in the cold rain and shaking.,"I know this because it says right in the story that he saw how sad the cat was, and then he called the cat a real friend and decided to take it home.",You can learn that you should pet the dirty cat anyways and take it home even if other boys won't let you play basketball with them.,"Because the text says the boys told Bruno he couldn't play basketball if he touched the cat, but he bent down and pet it anyways and took it to his house.",She doesn't tell because Rachel whispered to her to be quiet and told her not to tell on her since they are best friends.,Because it says right in the text that Rachel whispered 'Don't tell on me. I'm your best friend' right before Sarah lied to the teacher.,"A lesson is that if you don't study for a math test, you will probably end up copying someone else's answer sheet.","I said that because Rachel admitted she didn't study at all in the beginning, and then later Sarah sees her looking over the shoulder of the kid in front of her.",He kept the wallet because it had exactly $300 in it and he wanted to use the money to buy the red bike.,"In the story he opened the wallet and saw the $300, and he said that he could use it to buy the bike.",A lesson you could learn is to not forget your wallet on the table when you leave a shop.,"I said that because the lady left her wallet at her table and Billy grabbed it, and then she couldn't find it."
R0040,IIR1,text,moderate,Stealing|Cat|Lying,He kept the cat because he saw how sad and cold it was in the rain and he wanted it to be his real friend.,"The story says that he saw how sad the cat was while it was shaking, and then he told the cat 'hey there real friend' and took it to his home.",The lesson is that you should take a sad cat home even if your friends say you can't play basketball with them anymore.,"I thought of this because at the end the boys told Bruno he couldn't play basketball if he touched the dirty cat, but he still bent down and took it home.",Sarah doesn't tell because Rachel told her to be quiet and said that she is her best friend.,"The story says that Rachel noticed Sarah looking at her and whispered, ""Don't tell on me. I'm your best friend."" After that, Sarah told the teacher nothing was going on.","A lesson is that if you don't study for a test at all, you might end up having to look over someone else's shoulder to copy their answers.","I said that because Rachel told Sarah she hadn't studied at all but would do well anyways, and then Sarah caught her copying the kid sitting in front of her.",Billy kept the wallet because it had exactly $300 in it and he wanted to use it to buy the beautiful red bike.,"The story tells us that he looked inside the wallet, saw the $300, and said that with that money he could buy the bike.",A lesson is that you shouldn't forget your wallet at a table when you leave.,I thought of this because the lady forgot her wallet at the ice cream shop and then Billy grabbed it and kept her $300.
R0041,IIR1,comic,lot,Lying|Stealing|Cat,"The boy decided to keep the cat because he noticed how sad it was sitting out in the rain, and he wanted to be its real friend.","I read the narrator's box that states the boy saw how sad the cat was. Then, in the very last panel, the boy directly calls the cat a real friend and says he will take it to his new home.","The lesson is that you should pet a dirty cat and take it home, even if the other kids threaten to stop playing basketball with you.","In the concluding panels, the other kids tell him he cannot play basketball anymore if he touches the cat. However, the text explicitly notes that the boy bent down and petted the cat anyways.",Sarah doesn't tell the teacher because Rachel whispered for her to keep quiet and reminded Sarah that she is her best friend.,"I thought of this because I read the speech bubble where Rachel explicitly says, 'Don't tell on me. I'm your best friend.'",A lesson could be that someone might not tell the teacher if their best friend is copying a test.,"I thought of this because the comic shows Rachel copying another student's test, and Sarah decides to tell Ms. Craig that nothing is going on.","Billy kept the wallet because he realized it had exactly three hundred dollars inside, which was the amount he needed to buy the red bike he wanted.","I based my answer on the panel where Billy opens the wallet and explicitly states, 'Wow, is this really $300? With that money, I could buy that red bike!'",A lesson someone could learn is that you should never leave your wallet unattended on a table at an ice cream shop.,"I thought of this lesson because the story specifically shows the lady forgetting her wallet on the table next to Billy, which resulted in him taking it and lying to her about it."
R0042,IIR1,text,none,Cat|Lying|Stealing,cause he saw the cat was sad and called him real friend.,the story says he saw how sad the cat was.,to pet the cat anyways and take it home.,cause bruno bent down and pet the cat anyways in the story.,cause rachel is her best friend and said shhhhh.,it says in the story rachel whispered don't tell on me.,you shouldn't copy the kid in front of you.,rachel was copying the answer sheet in the story.,he wants the 300 dollars for a new bike.,he looked inside and said he can buy that red bike.,dont forget your wallet outside.,the lady left it at the table and billy took it.
R0043,IIR1,text,lot,Cat|Lying|Stealing,"The red-headed boy kept the cat because he noticed how sad it was while it was sitting in the rain, wet and shaking.","I based this on the part of the story that explicitly states Bruno saw how sad the cat was, and then he told the cat he was taking it to his home.",A lesson you can learn is to pet the sad cat and take it home even if the other boys say they won't let you play basketball with them.,"I thought of this because one of the boys told Bruno he couldn't play basketball if he touched the dirty cat, but the text says Bruno bent down and pet the cat anyways.","Sarah does not tell the teacher because Rachel explicitly whispered to her to keep quiet, reminding Sarah that she is her best friend.","The story clearly states that Rachel noticed Sarah watching her and whispered, ""Don't tell on me. I'm your best friend,"" right before Sarah told Ms. Craig that nothing was going on.","A lesson someone could learn is that if you do not study at all for a math test, you might end up bubbling your answers quickly, copying the student in front of you, and then having to ask your best friend not to tell the teacher.","I drew this lesson directly from the text, which details Rachel admitting she hadn't studied, proceeding to copy another student's answer sheet, and then whispering to Sarah to stay quiet about it.","Billy kept the lady's wallet because he discovered it contained exactly $300, which he wanted to use to purchase the beautiful red bike he saw earlier in the day.","The text explicitly states that when Billy opened the wallet, he saw the $300 and immediately said to himself that he could use the money to buy that specific red bike.","A lesson someone could learn is that if your parents refuse to buy you an expensive new bike for your birthday, you might find someone's lost wallet with the exact amount of money you need and keep it.","I based this entirely on the sequence of events in the story, where his father's refusal to buy the bike directly leads to Billy taking the wallet at the ice cream shop and lying to the lady about it."
R0044,IIR1,comic,little,Cat|Lying|Stealing,He kept the cat because he saw how sad it was when it was shaking in the rain.,I read it in the words at the top that said he saw how sad the cat was.,Maybe that you should be a real friend and pet the dirty cat.,Because the boy calls the cat a real friend and pets him even when the other kids yell at him.,Because Rachel whispered to her to be quiet and not tell on her because they are best friends.,I read it in Rachel's speech bubble where she says 'shhhhh. Don't tell on me' so Sarah just tells the teacher nothing is going on.,I guess the lesson is that you should not cheat on your test.,Because the teacher said no cheating and she also wrote 'No cheating' right there on the green board.,He kept it because it had 300 dollars in it to buy the red bike.,The comic shows him holding the money and saying he could buy the bike.,I guess the lesson is don't leave your wallet on the table at the ice cream shop.,Because the lady left it there and then Billy took it and lied to her.
R0045,IIR1,text,little,Lying|Stealing|Cat,He kept the cat because he saw how sad it was in the rain and called it a real friend.,"The story says he saw the cat was sad, wet and cold. Then he said he is taking it to his home.","Um, maybe the lesson is to pet the cat anyways even if the boys say you can't play basketball.","I think that because one boy said he couldn't play basketball, but Bruno bent down and pet the cat anyways.","She doesn't tell because Rachel whispered to her to not tell on her, since they are best friends.",I got it from the story where Rachel says 'Don't tell on me. I'm your best friend' while they were taking the test.,Maybe the lesson is to study for the math test so you don't copy the kid sitting in front of you.,Because the story says Rachel didn't study at all and then she was looking over his shoulder to copy.,He kept it because it had $300 so he could buy the new bike.,The story says he looked inside and saw $300 and said he could buy that red bike with it.,Maybe the lesson is to not keep someone's wallet if they forget it.,Because the lady forgot her wallet at the table and Billy kept it and lied to her.
R0046,IIR1,comic,none,Stealing|Lying|Cat,cause he saw the cat was sad.,it says the boy saw how sad the cat was in the story.,you can be a real friend to a cat.,he calls him a real friend and takes him home at the end.,Rachel told her shhhh. And said I am your best friend.,I saw it in the circle where Rachel is whispering to Sarah.,Do not cheat on the math test.,The teacher said no cheating. It is wrote on the board.,to buy the red bike.,he looks at the 300 dollars and says he can buy that red bike.,dont leave your wallet at a table.,cause the lady left it and billy took it so she cant find it.
R0047,IIR1,text,lot,Stealing|Lying|Cat,"Bruno kept the cat because he saw how sad the cat was when it was sitting in the rain, wet, cold, and shaking.","The text explicitly states that the red-headed boy saw how sad the cat was, and then he bent down to pet it despite the other boys laughing.","A lesson you could learn is that if someone says they won't let you play basketball with them if you touch a dirty cat, you should just pet the cat anyway and take it to your house.","I formulated this lesson directly from the ending of the narrative, where one of the boys threatens Bruno about playing basketball, but Bruno proceeds to pet the cat and bring it home.",Sarah chooses not to tell the teacher because Rachel specifically asks her to keep quiet and reminds Sarah that they are best friends.,"I based my answer directly on the dialogue in the text, where Rachel whispers, 'Sarah shhhhh. Don't tell on me. I'm your best friend,' right before Sarah tells the teacher that nothing is happening.","A lesson someone could learn from this story is that if you choose not to study for a math test, you might end up looking over another student's shoulder to copy their answer sheet and asking your best friend to lie about it.","The story explicitly details that Rachel did not study at all, which led to her copying the kid in front of her. Then, she whispered for Sarah to keep quiet, causing Sarah to tell Ms. Craig that nothing was going on.","He kept the wallet because it had exactly $300 inside of it, which was the exact price of the beautiful bike he wanted.","The text explicitly states that he looked inside the wallet and said, 'With that money, I could buy that red bike!'","One lesson is that if your father tells you that you cannot have a new expensive bike for your birthday, you might end up taking a lady's forgotten wallet instead.","I thought of this because the story shows his father denying his request for the bike, and afterward Billy takes the wallet from the table and lies to the lady about it."
R0048,IIR1,comic,none,Cat|Lying|Stealing,cause he saw the cat was sad in the rain. he called him a real friend.,the box says he saw how sad the cat was. i just looked at the words.,take a cat home if it is sad.,cause the boy took the cat home at the end.,because rachel is her best friend.,rachel told her to shhh and don't tell.,you should study for your test.,rachel said she didn't study and then she was copying.,to buy the red bike.,he looks in it and says he can buy the bike.,dont lie to the lady.,because he said he dont know where it is.
R0049,IIR2,text,lot,Lying|Stealing|Cat,He realized that having a loyal pet who actually cares about his feelings is much more valuable than trying to impress toxic bullies.,"Animals are known for providing unconditional love and comfort when you need it most, whereas peer pressure usually only leads to superficial and negative relationships.","You shouldn't let peer pressure dictate your choices, and it is always better to be compassionate than to just follow the crowd.",It is a common life lesson that doing the right thing often requires standing up to bullies. People who force you to be cruel to fit in are never actually your real friends.,"She doesn't want to ruin their relationship, because people usually protect their close friends even if they are doing something dishonest.","In real life, loyalty to a friend is often prioritized over following the rules. Snitching can completely destroy a friendship and cause a lot of unnecessary social drama.",Sometimes you are placed in really uncomfortable situations where you have to choose between doing the right thing and protecting someone you care about.,"It is a common dilemma in life. People constantly face moral conflicts where their personal loyalty clashes with honesty, making it difficult to decide the best course of action.","Billy kept the wallet out of greed and temptation. When people desperately want something they cannot afford, finding a large amount of cash can easily cause them to make a dishonest choice.",I thought of this because it is a common human flaw. Individuals frequently let their personal desires overpower their conscience when presented with an easy opportunity to take money.,The most important lesson is that stealing from others to fulfill your own desires is inherently unethical.,"In the real world, taking advantage of someone's mistake by keeping their lost property is essentially theft, regardless of how much you want to buy something new for yourself."
R0050,IIR2,comic,lot,Stealing|Lying|Cat,"He probably recognized that animals offer unconditional friendship, which is much more valuable than hanging out with toxic people who just bring others down.","Dealing with peer pressure is something everyone goes through. You eventually learn that genuine companions are hard to find, so you have to choose empathy over popularity.",A great lesson here is that you should always protect the defenseless and not let the fear of being mocked dictate your actions.,"This is a classic situation where someone has to overcome peer pressure. In life, true character is defined by showing compassion to those who are struggling, rather than just following a cruel crowd.","She doesn't tell the teacher because friends are generally supposed to have each other's backs. Snitching on a close friend goes against the unwritten rules of loyalty, so she stays quiet to protect her.","I based this on how friendships naturally work in the real world. If you tell on a friend, they will likely feel completely betrayed and it could ruin the relationship forever.","The main lesson is that you shouldn't pressure your friends into covering up your bad choices, because it puts them in an incredibly uncomfortable position.","I thought of this because whenever someone decides to break the rules, dragging a friend into it always creates a lot of unnecessary stress and guilt for the innocent person.",He kept the wallet because he was feeling greedy and saw an easy opportunity to get the funds to buy something he really desired.,"In the real world, people often make selfish decisions when they are tempted by a quick way to get cash, even if it means acting dishonestly.",The main lesson is that you shouldn't let materialism or greed push you into compromising your morals.,"I based this on the fact that stealing is universally wrong, and taking advantage of someone losing their belongings causes real harm to the victim."
R0051,IIR2,text,little,Stealing|Lying|Cat,"Um, I think he just wanted a real friend. Pets are really good to have when people are being mean to you.","Well, cause animals just love you no matter what. When kids are sad, having a pet is the best.",Maybe the lesson is don't listen to bullies. You should just be nice to stray animals.,Because bullies just want to make you feel bad. It is better to do the right thing and help instead of trying to be cool.,"Um, probably because you aren't supposed to snitch on your friends. You have to keep their secrets so they don't get mad.","I guess just because I know if you tell on your friend, they won't want to hang out with you anymore.",That you shouldn't cheat on tests. And maybe don't make your friends lie for you.,Because in school you can get a zero if you cheat. It just makes things bad for everyone.,Maybe because he wanted the money to buy something he wanted. People sometimes keep stuff that isn't theirs if it has money.,"Um, I just know that people steal wallets for the cash inside. That's usually why.",You shouldn't lie or take things from people.,"Because taking stuff is just bad. People get really sad when they lose their money, so it's mean to do."
R0052,IIR2,comic,little,Cat|Lying|Stealing,He probably wanted a pet to be his friend.,I think cause most people get pets when they want a good friend.,You should always be nice to animals.,Cause stray cats need homes and it's just the right thing to do to help them.,"Um, probably because you aren't supposed to get your friends in trouble.",Just cause I know that friends usually look out for each other and don't snitch.,Maybe that cheating is bad and you shouldn't lie.,"Well, because if you cheat in real school you usually get in a lot of trouble anyway.","Um, he kept it because he really wanted to buy something expensive. People sometimes take money when they want stuff they can't afford.","I just know that's why people take things. When kids want something really bad, they might do something wrong to get it.",You shouldn't steal from people even if you want something a lot. It's wrong to lie about it.,"Well, my parents always taught me that stealing is bad. You aren't supposed to keep things that don't belong to you."
R0053,IIR2,text,none,Lying|Cat|Stealing,he felt bad for it.,cause stray animals get sick if you leave them outside.,dont listen to bullies.,cause real friends dont make fun of you.,cause you are not supposed to snitch on your friends.,thats just how it is. you keep secrets so they dont get mad at you.,dont cheat on tests.,because if you cheat you get a zero and get in trouble.,cause he wanted the money to buy things.,when people find wallets they take the cash inside.,dont steal from people.,taking stuff is wrong and you can get in trouble.
R0054,IIR2,text,moderate,Lying|Cat|Stealing,He kept the cat because animals make really good friends when other kids are picking on you. He just wanted someone who would be nice to him.,"I thought of that because usually when people feel lonely or get bullied, getting a pet helps them feel loved and a lot better.","You should always stand up to bullies and do what is right, even if it means you lose your friends.",Because true friends won't force you to be mean to an innocent animal just to hang out with them.,"Sarah doesn't want to be a snitch. When you are close to someone, you usually protect them and keep their secrets so they don't get detention.","Because in real life, friends usually cover for each other when they do something wrong. Nobody wants to lose a good friend over a test.",You shouldn't put your friends in a bad spot by making them cover for your bad choices.,Because it's really stressful when you have to lie to an adult just to protect someone who decided to break the rules.,He kept it because he was being greedy and wanted to use the cash for himself.,"When people find a wallet and lie about it, it usually means they want to keep the money to buy things they can't afford.",Don't steal from other people just because you really want to buy something.,"Because taking someone else's money is just wrong. You are supposed to earn your own money if you want to buy cool stuff, not take it from strangers."
R0055,IIR2,text,none,Cat|Stealing|Lying,cause he felt bad for it. you should help stray cats.,i see strays sometimes. they need a home.,be nice to animals.,cause they cant take care of themselfs.,she doesnt want to be a snitch.,friends get mad if you tell on them. you supposed to have their back.,dont cheat.,because cheaters always get in trouble later. its bad.,cause he wanted to buy something with it.,kids like to buy things when they find money.,dont take things that are not yours.,stealing is a bad thing to do and you get in trouble.
R0056,IIR2,comic,none,Stealing|Lying|Cat,He wanted a friend.,I don't know. People like getting pets when they are sad.,You should be nice to pets.,Because it is bad to be mean. Animals need love.,cause she dont want to be a snitch.,if you tell on people in school they wont like you anymore.,cheating is bad.,in my school you get a zero if you cheat. i dont really get these pictures.,he wants the money to buy something.,if you find money you just want to spend it.,u should give things back.,cause its bad to keep peoples stuff.
R0057,IIR2,text,moderate,Cat|Stealing|Lying,Because having a loyal pet is way better than hanging out with bullies who just make fun of people.,"In real life, kids who bully others aren't your real friends. Animals will love you no matter what, so it makes sense to choose a pet over fake friends.",Always stand up to bullies and choose true friends over trying to fit in with the popular kids.,"Because peer pressure is bad. People who make you feel bad about yourself aren't worth hanging out with, and it's better to just be kind to others.","She doesn't tell the teacher because you aren't supposed to snitch. If you tell on your friends, they will get mad at you and you could lose them.","Because in school nobody likes a tattletale, and you always have your friends' backs when they are in trouble.",A good lesson is that breaking the rules can put your friends in a really awkward position.,"Because usually when people cheat or do bad things, they end up dragging their friends into the mess and making them lie for them.","He kept it because people can get really greedy when they find money, especially if there's something expensive they've been wanting to buy.","I thought of that because usually when kids really want something cool, they might make bad choices if they see an easy way to get the cash for it.",The lesson is that you shouldn't steal from other people just because you want something for yourself.,"Because taking things that don't belong to you is wrong. Losing your money is a terrible feeling, so you shouldn't do that to someone else."
R0058,IIR2,text,lot,Stealing|Cat|Lying,He kept the cat because animals offer unconditional love and companionship. People often crave that kind of connection when they feel isolated or rejected by their peers.,I know from real life that having a pet can be incredibly comforting when you're going through a tough time. Pets make the most loyal and supportive companions.,"A good lesson is that true friendship is vastly more important than popularity, and you should always stand up for what you believe is right instead of bowing to peer pressure.","In the real world, individuals who judge you or try to dictate who you can associate with usually aren't genuine friends. It's always better to prioritize authentic relationships.","Sarah keeps quiet because there is a strong social expectation to always protect your friends and not be labeled as a tattletale, even if they are breaking the rules.","I based this on the reality of middle school dynamics, where loyalty to your peers usually outweighs doing what authority figures expect.",A major lesson here is that peer pressure and loyalty can put you in incredibly difficult ethical dilemmas.,It is a common situation in life where choosing to protect a friend's secret forces you to compromise your own integrity.,He kept it because people often give into temptation when they desperately want to purchase something expensive that they cannot afford.,"I thought of this because human nature shows that sudden access to cash can easily cloud someone's judgment, causing them to prioritize their own materialistic desires over honesty.","A valuable lesson here is that you should never let greed drive you to commit a dishonest act, like taking someone else's property.","This comes from the universal moral principle that stealing is fundamentally wrong, regardless of how much you covet a luxury item or how easy it is to get away with it."
R0059,IIR2,comic,little,Lying|Stealing|Cat,I think he kept the cat because animals are really good friends when you feel lonely or when people are being mean.,"Um, just because I know pets can always cheer you up. Cats are always there for you if you need a friend.",Maybe that you should be nice to animals and not care about what bullies say.,"Because in real life, bullies always try to tell you what to do and make fun of you. You just have to do the right thing anyway.",Because you aren't supposed to get your friends in trouble.,That's just how friends act. If you tattle on a friend they will get mad and probably won't like you anymore.,Don't put your friends in a bad situation where they have to lie.,"I guess because nobody likes it when someone makes them keep a bad secret, it just feels wrong.",He kept it so he could buy something he really wanted.,"Well, when people want stuff they can't afford, they sometimes take money if they find it.",You shouldn't take money that isn't yours.,Because stealing is bad and it hurts other people's feelings.
R0060,IIR2,comic,lot,Cat|Lying|Stealing,"He decided to keep the cat because animals provide incredible companionship, which is exactly what someone needs when they are feeling isolated or upset.",I know from real life that having a pet can really boost your mood and give you a sense of purpose when you are going through a difficult time.,"The main lesson is that you shouldn't let peer pressure dictate your actions, and it's important to stand up for the defenseless.","People often bully others just to look cool to their peers, but having the courage to do what is right and show compassion is much more valuable in life.","Sarah decides to keep quiet because she doesn't want to be a snitch. Friends are typically expected to stay loyal to one another, even when someone is doing something wrong.","I know that telling on a close friend is a guaranteed way to ruin a friendship, so people usually just choose to cover for them instead.",The main lesson is that making bad decisions can put the people you care about in a really stressful and unfair situation.,"When someone breaks the rules in real life, they frequently force their friends to choose between being honest and being loyal.","He kept the wallet because he was feeling greedy and wanted the cash for himself. When people desire something expensive, they sometimes resort to dishonest actions to get the funds.",I know from human nature that individuals will often commit theft when they desperately want to purchase things they cannot afford on their own.,A valuable lesson here is that stealing is fundamentally wrong and taking advantage of someone else's misplaced property is completely unethical.,Society generally teaches us that theft and dishonesty are detrimental behaviors. You shouldn't take other people's belongings just because you are tempted by money.
R0061,IIR2,comic,none,Cat|Lying|Stealing,he probably wanted a pet to be his friend.,pets make people feel happy. i know animals are good friends to have.,you should stand up to bullies. and help animals.,bullies are mean in real life. its always good to rescue pets.,cause you dont snitch on your friends. they get mad at you.,if you tell on people they wont play with you no more. i just know that.,dont cheat on your work.,teachers say cheating is bad. you can get in big trouble.,Cause he wanted money to buy things.,Kids take stuff when they want to buy something new.,Dont take things that aren't yours.,Because stealing is a crime and its bad.
R0062,IIR2,text,lot,Cat|Stealing|Lying,He decided to keep the cat because he realized that a loyal animal makes a much better companion than kids who are just going to be judgmental and mean.,"I thought of this because anyone who has a pet knows they offer unconditional love, whereas bullies usually only care about popularity.","The main lesson is that you should never give in to negative peer pressure, and instead choose to be compassionate to those who are vulnerable.","In the real world, trying to impress toxic people never actually leads to true happiness, but showing kindness always rewards you with genuine friendship.","People usually don't want to betray someone they care about. When you have a really close bond with someone, the unspoken rule is that you protect them from getting into severe trouble, even if they are doing something unethical.",I just thought about how loyalty works in real life. Most individuals will prioritize maintaining a long-term relationship over strictly enforcing the rules because losing a companion is much more painful than letting an offense slide.,The primary lesson is that loyalty can sometimes put you in a very uncomfortable moral dilemma. You might be forced to compromise your own integrity to protect a companion's reputation.,"In society, we are often taught to be completely honest, but social dynamics usually demand that we keep our friends' secrets. Experiencing that kind of internal conflict is a very common part of growing up and navigating relationships.",He kept the wallet because people are often tempted to take money when they really desire something they cannot afford on their own.,"I thought of this because human nature can be quite greedy. When someone finds a large sum of cash, the temptation to just keep it can be incredibly strong, especially if they are feeling deprived.",A good lesson is that you shouldn't let your own greed push you into making dishonest choices.,"In the real world, keeping something valuable that you know belongs to someone else is simply theft. No matter how much you might want to buy something, taking advantage of a stranger is morally wrong."
R0063,IIR2,text,moderate,Lying|Cat|Stealing,He felt bad for the stray animal and wanted a pet to be his loyal friend.,"Because usually when people see a lonely animal out on the street, they feel sorry for it and want to rescue it.","You shouldn't let bullies tell you what to do, and it's better to be kind than to hang out with mean kids.",I thought of this because real friends don't make fun of you or force you to be mean to others.,Sarah doesn't tell because friends usually don't snitch on each other. You don't want to get your friend in trouble at school.,"I know that in real life, telling on a friend is a quick way to ruin the friendship, so she probably just kept quiet to protect her.",The lesson is that you shouldn't lie to protect someone who is doing the wrong thing.,"Because when people do bad stuff like cheating, they need to face the consequences, and covering for them just makes you look bad too.",He kept it because he got greedy when he saw all that free cash. He wanted to use the money to buy something expensive that he really wanted.,"Because usually when people steal a lost wallet, it's just so they can get the cash inside to buy stuff they can't afford.",You shouldn't steal from other people just to get what you want. Lying and taking money makes you a bad person.,"That's just a common rule in life. If someone loses their wallet, you are supposed to give it back instead of being selfish and keeping it."
R0064,IIR2,text,little,Lying|Cat|Stealing,He probably wanted a pet so he wouldn't be lonely.,Well usually when people are sad they get a dog or cat to be their buddy.,You shouldn't listen to mean kids. Just be nice.,"Cause bullies always try to make you feel bad, so it's better to do what is right anyway.",She probably doesn't want to get called a snitch. Friends usually stick together no matter what.,"Cause in school if you tell on someone, everyone gets mad at you and you can lose your friends.",You shouldn't drag other people into your bad choices.,"Just because usually when people cheat or do bad stuff, it makes their friends feel really guilty and weird.","Um, he kept it because he wanted the money to buy something expensive.","Just cause when kids really want stuff and their parents say no, sometimes they do bad things to get the money anyway.",The lesson is you shouldn't steal money from people just cause you want to buy something.,Because stealing is wrong and lying is bad. If someone loses their stuff they get really sad.
R0065,IIR2,comic,little,Lying|Cat|Stealing,"Um, he probably kept the cat because stray animals need a family to feed them and love them.",I guess because usually when people find stray pets outside they take them in so they don't starve. That's just what people do.,That you should always be nice to animals.,Because being mean is bad. My mom says you should be kind to pets and things that need help.,She doesn't want to be a snitch. Friends don't get friends in trouble.,I guess because if you tell on someone they get really mad at you in real life.,You shouldn't cheat on your work.,"Um, because cheating is bad and you don't learn anything if you just copy people.",He kept it to get the money to buy something he really wanted.,I guess people sometimes keep wallets they find because they need money for stuff they can't afford.,You shouldn't steal from other people.,Because taking things that don't belong to you is bad and you can get in trouble.
R0066,IIR2,comic,moderate,Stealing|Lying|Cat,He kept the cat because he was lonely and needed a good friend to hang out with.,Because usually when people get pets it's because animals make really good companions. Having a dog or a cat can always cheer you up when you are feeling down.,A good lesson is to stand up for what you believe in and don't let mean people tell you what to do.,"I thought of this because bullies always try to peer pressure you into being mean. In real life, it's just better to do the right thing and ignore them instead of following the crowd.",Because friends aren't supposed to snitch on each other. You are supposed to protect your friends when they do something wrong.,"I thought of this because if you tell a teacher your friend is breaking the rules, they will get in trouble and probably won't want to be friends with you anymore.","A good lesson is that cheating causes problems for other people, not just you.","Because when people cheat, they usually end up dragging their friends into it and making them lie to cover it up, which isn't fair.",He kept it because he wanted to buy something expensive that he couldn't afford. Sometimes people get greedy when they find cash.,"I thought of that because usually when people find wallets and don't return them, it's just because they want the money for themselves to buy stuff.",The lesson is that you shouldn't steal things that don't belong to you and lie to people.,"Because it's just a basic rule in life that stealing is bad. If you find someone's stuff you are supposed to give it back to them, not lie to their face."
R0067,IIR2,comic,moderate,Lying|Stealing|Cat,He kept the cat because it was a stray that needed a family.,"I thought of this because whenever you see a homeless animal, you should try to adopt it so it doesn't have to live on the streets.",The lesson is that you should always be kind to animals and help them out.,Because pets have feelings too and they deserve to have a nice warm home instead of being left outside by themselves.,"Sarah doesn't tell because you aren't supposed to snitch on your friends. If she tells the teacher, her friend will get mad and they probably won't be friends anymore.",I know that from real life because people hate snitches. You always want to protect your friends so you don't lose them.,The lesson is that you shouldn't put your friends in a bad situation where they feel like they have to lie to protect you.,I thought of this because in real life it is really hard to do the right thing when your friend is the one breaking the rules.,He kept it because he really wanted to buy something expensive and he didn't have his own money to get it.,"Because usually when people find a lost wallet and hide it, they just want to keep the cash inside to buy stuff for themselves.",The lesson is that you shouldn't steal from people or lie just because you want something.,"I said that because taking things that don't belong to you is selfish. If someone loses their wallet, the right thing to do in life is to help them out and return it."
R0068,IIR2,comic,lot,Stealing|Lying|Cat,He decided to keep the cat because individuals often adopt pets when they desire genuine companionship. Rescuing an animal provides a sense of unconditional love that you can't always get from other people.,"I based this on the fact that animals are universally known to be incredibly loyal. Whenever someone goes out of their way to take in a stray, it's typically because they recognize the value of having a reliable friend in their life.",The underlying lesson is that individuals shouldn't succumb to peer pressure from toxic people. It is always better to act with compassion and do what is morally correct.,"Throughout our lives, we are constantly taught that true friends won't force you to change who you are or be cruel to others. Following your own moral compass is a fundamental principle of being a good person.","Friends usually stick together and protect each other, no matter what. It's a standard social rule that you never rat out people close to you, because loyalty is incredibly important.","I just thought about how friendships operate in the real world. Nobody wants to be the person who gets their friend in serious trouble, so they just stay quiet.",A lesson here is that loyalty can sometimes put you in a really uncomfortable moral dilemma where you have to choose between honesty and protecting a relationship.,"I based this on the fact that life is full of tough situations where following the rules might mean betraying someone, which happens to people all the time.","He kept the wallet out of pure greed, hoping to use the sudden windfall of cash to purchase something luxurious that he otherwise couldn't afford.","Human nature often shows that when individuals are presented with an easy, unearned opportunity to get exactly what they desire, they tend to compromise their morals and just take the cash.",A good lesson here is that you shouldn't steal from innocent people just because you are envious of what others possess.,"I thought of this because society constantly teaches us that honesty is important, and taking someone's money causes them a lot of unnecessary distress."
R0069,IIR2,text,little,Stealing|Lying|Cat,Because animals make really good friends when you are feeling sad. They don't act mean like regular kids do.,Um I just know that pets always love you no matter what. So a pet is better if kids are being bullies.,You should pick a real friend instead of mean ones. Also be nice to stray animals.,Cause bullies aren't actually good friends. It's just better to have a nice pet than hang out with kids who are mean.,"Um, you just don't snitch on your friends. If you tell, they will get mad and hate you.",Because that's just how friends work. You are supposed to have their back no matter what.,Maybe that you shouldn't cheat in school. It's just bad to do.,Well teachers always tell us cheating is wrong and you can get in big trouble for it.,He kept it cause he wanted to buy something expensive and needed the cash.,"Well, people sometimes take money when they really want to get stuff they can't afford.",You shouldn't take things that don't belong to you and lie about it.,"Because in the real world, stealing is wrong and it makes people sad when they lose their money."
R0070,IIR2,text,none,Cat|Stealing|Lying,He felt lonely. Pets make good friends.,Cause animals just like to love people. That is what pets do.,Be nice to animals.,Cause if a cat is outside it gets cold. You should always help them.,cause friends dont snitch.,if you tell on a friend they hate you. thats just how it is.,dont cheat on tests.,cheaters always get in trouble later on.,he wanted money to buy stuff.,people take wallets to get cash.,dont steal.,stealing is bad and wrong.
R0071,IIR2,comic,none,Cat|Stealing|Lying,he wanted a pet. cats make good friends.,people get pets to not be lonely.,always be nice to pets.,cause animals have feelings too.,cause you never get your friends in trouble.,thats just what friends do in real life.,dont cheat at school.,cheating is bad and my mom says not to.,he wanted the money to buy stuff.,when people find wallets they keep the money.,dont steal from people.,taking stuff is bad and you get in trouble.
