respondent_id,profile_level,format,cat_1,cat_2,cat_3,cat_4,lying_1,lying_2,lying_3,lying_4,stealing_1,stealing_2,stealing_3,stealing_4
R0053,IIR2,text,Because pets make really good friends when you are feeling lonely.,"Whenever I am sad, I just hang out with my dog and it makes me feel better. People just like having animals around.",You should be nice to stray animals and help them out.,I see a lot of videos online of people rescuing homeless pets from the cold and giving them good homes.,Because you aren't supposed to snitch on your friends.,"If you tell a teacher on your best friend, they will get super mad at you and won't be your friend anymore. That's just the rule.",That you shouldn't cheat on tests and you should just do the work.,"Because my parents always say cheaters never win, and you will eventually get caught and get a zero anyway.",He kept it because he wanted to buy something really bad and his parents wouldn't give him the money for it.,"Sometimes when kids really want a new toy or something and they are broke, they do dumb stuff to get the cash for it.",Don't steal other people's stuff even if you really want something.,Taking wallets is a crime and the person who lost it will be freaking out about their cards and cash.
R0054,IIR2,text,He realized the stray animal would be a better friend than those bullies.,"Because pets love you no matter what, but other kids can be really mean.",Don't care about what popular kids think of you.,"Because bullies are just trying to bring you down, so it's better to do the right thing instead of trying to fit in.",Because she doesn't want to be a snitch.,Usually friends stick together and you don't want to get your best friend in trouble at school.,Cheating is bad and you shouldn't cover up for people.,"In life, cheaters usually get caught eventually and lying makes it worse.",He wanted to buy something he couldn't afford.,"When kids really want a toy but their parents say no, they sometimes do bad things to get cash.",You shouldn't steal from people just because you want something.,Taking someone's money is a crime and it's just wrong to do that.
R0055,IIR2,comic,He probably just wanted a pet to play with. Having a pet makes you happy.,I know that usually when people get a cat it's because they want a new friend to take care of.,You should always try to adopt stray animals so they have a nice place to live.,I see lots of commercials about giving stray dogs and cats a good home so they don't have to live outside.,Because you aren't supposed to be a snitch. If you tattle on people they will get really mad at you.,"At my school if you tell the teacher on someone, nobody wants to hang out with you anymore.",The lesson is that you shouldn't cheat on your tests in school.,Teachers always tell us that cheating is bad and you won't actually learn the math if you just copy.,He kept it because he wanted the money inside so he could buy cool stuff for himself.,"When people take things that aren't theirs, it's usually because they want cash to go shopping.",You shouldn't steal from people and you should always return things if you find them.,My parents taught me that keeping things that belong to someone else is stealing and it's against the law.
R0056,IIR2,text,He realized that animals are better friends than mean kids.,"Pets always love you no matter what, but bullies will just peer pressure you and make you feel bad.",Stand up for yourself and don't give in to peer pressure.,Because true friends don't make fun of you or try to boss you around.,She didn't want to be a snitch.,"If you tell on your friends, they will get mad at you and you won't be friends anymore.",You shouldn't cover for people who do bad things.,"Cause if you lie to a teacher, you can get in a lot of trouble too.",He was being selfish and wanted to buy something he couldn't afford.,"When kids really want something but their parents say no, they sometimes do bad things to get the money.",Don't steal from people just to get what you want.,Because taking someone's wallet is a crime and that lady probably really needed her money.
R0057,IIR2,comic,Because everyone needs a pet to love and care for.,Pets are really good friends and if you find a stray animal you should take it in so it has a safe home.,Don't judge a book by its cover.,Sometimes things look dirty or bad on the outside but they are actually really nice on the inside.,Because you aren't supposed to get your best friends in trouble.,"If you tell on your friends, they will get mad at you and won't want to be your friend anymore.",You should always study for your tests.,"If you don't study, you won't know the answers and you might fail or have to cheat, which is wrong.",Because he wanted to buy something really cool that costs a lot of money.,"When someone finds a lot of money, they usually want to spend it on expensive toys or stuff they really want.",You shouldn't steal other people's money.,It's bad to take things that don't belong to you because the person who lost it will be really sad.
R0058,IIR2,text,Because animals need a family to take care of them and it's the right thing to help stray pets.,"When you see a lonely animal left outside in the bad weather, you are supposed to rescue it so it doesn't freeze or starve.",Being kind is more important than hanging out with mean people.,"Because bullies aren't actually good friends, and it's better to care for someone who needs you instead of trying to look cool.",Because best friends are supposed to keep each other's secrets and you don't want to be a snitch.,"In middle school, if you tell on your friend to the teacher you might lose them, so kids usually just stay quiet so their friend doesn't get in trouble.",Cheating on tests is wrong but it puts you in a really hard spot when your friends do it.,"Because you aren't supposed to cheat in school since it's against the rules, but nobody wants to rat out their best friend.",Because when people find money they usually want to keep it to buy stuff they really want.,"Sometimes when kids really want something that their parents won't buy for them, they do bad things to get the money for it.",You shouldn't steal from people even if you really want to buy something.,Because stealing is against the law and it's wrong to take money that doesn't belong to you.
R0059,IIR2,text,Because animals make way better friends than mean people do.,"When kids are bullying you, a pet like a cat or dog will always just love you and make you feel better.",You should pick real friends instead of trying to fit in.,Because trying to be cool with bullies never works out since they will just turn on you eventually.,Because friends are supposed to look out for each other and not be snitches.,"Because if you tell on your best friend, they will get mad at you and probably end the friendship.",Cheating is bad.,"Because when you cheat you don't really learn the math, and people will eventually find out.",He kept it because he got greedy and wanted to buy something expensive for himself.,"When people find a bunch of cash, they get tempted to keep it so they can go shopping.",Don't steal from other people.,"Because taking someone's wallet is stealing, and you can get in huge trouble or go to jail for it."
R0060,IIR2,text,He felt bad for it and realized animals make better friends than bullies do.,"When people are lonely or getting picked on, they usually want a pet to comfort them and give them unconditional love.",It is better to have real friends who care about you than fake friends who are just mean.,"Because bullies usually just want to make fun of people, but animals are loyal and actually make good companions.",Because she doesn't want her friend to get mad at her or lose their friendship. Best friends usually stick together.,"I know that in school, nobody wants to be a snitch. People always cover for their friends so they don't get in a fight.",You shouldn't cover up for your friends when they are doing something wrong.,"Because cheating is bad and if you lie for a friend, you can get in trouble too.",Because he wanted money to buy something he really wanted. People sometimes do bad things when they want something they can't afford.,Cause usually when someone finds a wallet they either return it or keep it out of greed. He chose to be greedy to get his way.,You shouldn't steal from people just to get what you want.,Because taking things that don't belong to you is a crime and it hurts other people.
R0061,IIR2,text,Because pets are really loyal and they make you feel better when you are lonely.,"When people are sad, having an animal to take care of gives them a true friend who loves them no matter what.",It is important to stand up to bullies and be kind to animals.,"Because peer pressure is bad, and a real friend won't care if other kids are making fun of you.",Because you are never supposed to snitch on your best friends.,"If you tattle on someone you are close to, they will get mad at you and probably won't want to be your friend anymore.",You shouldn't cheat on tests because you won't actually learn the material.,"Cheating only hurts you in the long run, and it's better to just study and do your own honest work.",He really wanted to buy something expensive that his parents wouldn't get for him.,"Sometimes when kids want something really badly, they get greedy and do bad things to get the money.",Stealing is wrong and you should always return things that don't belong to you.,"Because it's illegal to take money, and losing a wallet is really stressful for people since they work hard for their cash."
R0062,IIR2,comic,Because every pet needs a family to take care of them and feed them.,I know that people adopt stray cats from the streets so they don't have to live outside.,You should be nice to stray animals and help them out.,Because my mom says there are too many homeless pets and it's good to rescue them.,Because you are not supposed to snitch on your best friends.,"If you tattle on your friend at school, they will get mad and won't want to play with you anymore.",It is bad to cheat on your school work.,My teacher always tells us that cheating is wrong and you won't learn anything if you copy.,He wanted to buy something really expensive that he couldn't afford.,Sometimes kids take money because their parents won't buy them what they want.,You should never steal from people.,Taking someone's money is against the law and you can get in really big trouble for it.
R0063,IIR2,comic,He felt bad for it and wanted a pet.,When people see a stray animal on the street they usually take it home so it doesn't starve outside.,You should be nice to animals and not listen to bullies.,"Bullies just want to make people feel bad, and it's a good thing to help out pets that don't have a home.",Because you aren't supposed to snitch on your friends.,"If you tell a teacher on someone, they will get mad at you and they won't want to hang out with you anymore.",You need to study for your tests instead of cheating.,Because if you cheat in school you can get in a lot of trouble with the principal and fail.,He wanted to use the money to buy stuff for himself.,Usually when people find a wallet on the ground they just take the cash out of it so they can get free things.,You shouldn't steal from people.,Because stealing is illegal and if you lose your money you would want the person who found it to give it back.
R0064,IIR2,comic,He felt bad for the stray and wanted a pet to make him happy since the other kids were being mean.,Animals always cheer you up when you are sad or when people are bullying you.,You should be nice to animals and not care what bullies think.,"Bullies always make fun of people, but doing the right thing and rescuing a stray animal makes you a better person.",Because you aren't supposed to snitch on your friends.,Friends always cover for each other at school so their best friend doesn't get in big trouble with the teacher.,Cheating is bad and you should always do your own work.,"If you don't study, you end up having to copy someone else, which is wrong and can get you suspended.",Because he wanted to buy something expensive and didn't want to earn the money himself.,"When people find a lot of cash, they usually get tempted to just keep it so they can buy what they want.",You shouldn't take things that don't belong to you.,Because stealing is bad and people get really upset when they lose their money.
R0065,IIR2,comic,He kept it because he was feeling lonely and wanted a friend.,Pets are really good for when you are sad. Animals will always hang out with you even if people are being jerks.,You should always be nice to stray animals.,Because animals on the street need a home and it's cruel to just leave them out in the rain.,Because you aren't supposed to snitch on your best friends.,"If you tell a teacher on your friend, they will probably get mad and never talk to you again.",You shouldn't cheat on your school work.,"If you just copy off someone else you don't actually learn anything, plus you could get a zero if the teacher catches you.",Because he wanted to buy something expensive and he needed the cash to get it.,"When people really want stuff they can't afford, sometimes they just take money if they find it instead of earning it.",It's wrong to steal and lie to people.,"Losing your wallet is the worst, and taking someone else's money is a crime and makes you a bad person."
R0066,IIR2,text,Because having a pet makes you feel less lonely and they are good friends.,People usually adopt dogs or cats when they need someone to cheer them up and keep them company.,You should always be kind to animals because they need love.,Because stray pets usually don't have families and it's a good thing to adopt them so they aren't stuck out in the cold.,Because she doesn't want to get her friend in trouble with the teacher.,Snitching on your best friend breaks the friend code. You are always supposed to cover for your friends.,You shouldn't cheat in school because it is dishonest.,"If you just take the easy way out instead of doing your own work, it's wrong and you'll probably get caught eventually.",Because he wanted to buy something really bad and didn't have his own cash for it.,"When people really want something expensive, sometimes they get greedy and do bad things to get the money for it.",You shouldn't steal from people even if you are mad you didn't get what you wanted.,"It's illegal to take money that isn't yours, and the person who lost it is going to be worried looking for it."
R0067,IIR2,comic,Because everybody needs a friend and pets make you feel better when you are lonely.,"I know that having a pet cheers you up when you are sad, so animals make good friends.",You should always be nice to animals and not bully them.,It's mean to make fun of stray animals since they don't have a home and are just trying to survive.,Because she didn't want to be a snitch and lose her friend.,"Friends usually cover for each other. If you tattle on your best friend, they will get mad and won't hang out with you anymore.",You shouldn't let people cheat on tests.,"Cheating is wrong and if the teacher catches you, you will get an F and get in huge trouble.",Because he wanted money to buy something he really wanted.,"Usually when people keep wallets they find, it's because they are being greedy and want to buy cool stuff for themselves.",You shouldn't steal money from people just because you want something.,Stealing is a crime and it makes people who lose their money feel really upset.
R0068,IIR2,text,Because pets make better friends than bullies do.,"When kids get made fun of by other people, they usually just want an animal to hang out with because animals don't judge you.",Don't give in to peer pressure from mean kids.,Because you should do what you know is right instead of just following what the popular kids want you to do.,Because you aren't supposed to snitch on your friends.,"If you tell a teacher on someone, they will get mad and stop hanging out with you.",Cheating is bad and you shouldn't lie to cover it up.,"Because if you lie to a teacher to protect someone else, you could end up getting in big trouble yourself.",Because he wanted the money to buy something expensive.,"When parents tell a kid they won't buy them something, kids sometimes try to find their own ways to get the cash for it.",You shouldn't take things that don't belong to you.,Stealing money is illegal and it makes the person who lost it really upset.
R0069,IIR2,comic,Because everyone needs a friend and it's nice to rescue stray animals.,"When you see a sad animal without a home on the streets, it's just the right thing to do to take them in so they don't starve.",Always be nice to animals even if other people make fun of you.,"Because bullies are just mean, and doing the right thing by helping a pet is better than listening to them.",She didn't tell because nobody wants to be a snitch on their friends.,"If you tell a teacher on your friend, they will get super mad at you and you probably won't be friends anymore.",You shouldn't cheat on tests.,Because cheaters never really learn anything and if you get caught the teacher will just give you a zero.,He kept it because people get tempted when they see lots of money and want to buy cool stuff.,"In real life, if somebody finds cash they usually think about what they can buy instead of returning it right away.",Don't steal money from other people.,Because taking stuff that isn't yours is wrong and you can get in a lot of trouble for it.
R0070,IIR2,comic,Because having a pet makes you feel better when you are lonely or sad.,I just know that animals are really good at cheering people up when they feel down.,You should be nice to stray animals and give them a home.,Because there are lots of homeless pets out there that just need somebody to love them.,Because you aren't supposed to snitch on your best friend.,Friends always cover for each other so they don't get in a big fight and stop being friends.,Cheating is bad because you won't actually learn the stuff.,"If you just copy off people, you're gonna fail eventually in the real world.",He wanted to buy something really expensive that his parents told him no to.,"Sometimes when kids really want something new, they do bad things to get the cash for it.",Don't steal money just to get what you want.,Because taking things that belong to other people is wrong and it makes the person who lost it feel bad.
R0071,IIR2,comic,Because cats are really nice to have around when you feel sad.,My cat always purrs and makes me feel better when I have a bad day.,Don't be mean to stray animals.,There are lots of homeless pets in the world and we should adopt them so they can have a family.,Because you aren't supposed to be a tattletale on your best friend.,If you snitch on your friends they will get really mad at you and they won't want to hang out with you anymore.,Cheating on tests is wrong.,"It's not fair to the other kids who actually studied hard for their grades, and you won't learn anything.",Because he saw a lot of money in it and wanted to buy something cool for himself.,Sometimes when people find money they just keep it because they get greedy and want to buy things they like.,You should always return things that you find.,"My parents taught me that if you find something that isn't yours, you have to give it back to the owner."
R0072,IIR2,text,Because he was feeling sad and animals always cheer you up when you are lonely.,"Whenever I am sad, playing with my pet always makes me feel better.",You shouldn't care about what bullies say and just be nice to animals.,"Because bullies are just mean to make themselves feel better, but animals are always nice to you.",Because you aren't supposed to snitch on your best friends.,Because usually if you tell on your friends they will get mad at you and stop hanging out with you.,You shouldn't cheat on tests because it's wrong.,In real life if you cheat you don't actually learn the material.,He was being greedy because he wanted to buy something expensive.,Sometimes kids do bad things like take money when they are mad at their parents for saying no.,Stealing is a bad thing to do even if you really want something.,"Because taking someone's wallet means they lose all their cash and ID, which is a crime."
R0073,IIR2,text,Because animals that live on the streets need a warm house and someone to take care of them.,"Usually when someone finds a sad stray animal out in the rain, they take it inside so it doesn't freeze.",Don't let bullies tell you what to do or who to be friends with.,"Bullies are just mean, and you should help those who need it instead of trying to be cool to fit in.",She didn't want to get her best friend in trouble.,"You are supposed to protect your friends, so normally people don't snitch on them when they break the rules.",Cheating is wrong and you shouldn't let your friends do it.,"If you help someone cover up their cheating, you might get in trouble too and fail the class.",Because he wanted to buy something expensive that he couldn't afford.,"When kids find money, they sometimes keep it so they can buy cool stuff that their parents won't get them.",You shouldn't steal from people even if you really want to buy something.,It is bad to keep a lost wallet because the person who lost it needs their money back.
R0074,IIR2,text,Because pets are really good companions and they make you feel better when you are sad or lonely.,Because I have a dog that always comforts me when I'm upset. Animals just make really good friends when people are being mean.,You should always be kind to animals and treat people how you want to be treated.,Because bullying hurts peoples feelings and there are lots of homeless pets in the world that need families to love them.,Because friends always stick up for each other and you aren't supposed to be a snitch.,Because usually if you tell on your friends they will get really mad at you and they won't be your friend anymore.,Cheating is bad and you should always study for your tests if you want to get good grades.,Because when you cheat you don't actually learn anything and you can get in huge trouble with the principal.,He was being greedy and wanted to use the money to buy cool stuff instead of just earning the money himself.,Because sometimes kids want things so bad they do bad things like steal money if they find it laying around.,Stealing is wrong and you shouldn't take things that don't belong to you just to get what you want.,My parents always taught me that if you find someones wallet you have to return it because its stealing if you keep the money.
R0075,IIR2,text,Because he felt sorry for the cat being all alone out in the cold rain.,"When you see a stray animal that is homeless and sad, you usually want to rescue it and give it a nice home.",Be kind to animals and don't listen to bullies.,"Because bullying is mean, and real friends wouldn't try to make you do mean things to an innocent animal.",Because friends are supposed to keep each other's secrets and have each other's backs.,"If you snitch on your best friend to the teacher, they will get mad and probably won't be your friend anymore.",You should always study for your tests instead of cheating.,"Because if you copy someone else's paper, you can get in a lot of trouble at school.",He kept it because he really wanted to buy something expensive and didn't have his own money for it.,"Sometimes when people want something badly and their parents say no, they might steal money to go buy it themselves.",You shouldn't take things that don't belong to you.,Because stealing is against the law and taking a stranger's wallet is just wrong.
R0076,IIR2,comic,Because he wanted a pet to keep him company.,Cats make really good pets when you are feeling lonely and it's nice to rescue stray animals off the street.,You should ignore bullies and do the right thing.,"Because bullies just want to make you feel bad, so it's better to just be nice to animals and not care what mean kids say.",Because you are never supposed to snitch on your best friends.,"If you tell a teacher on your friend, they will get super mad at you and probably won't want to be your friend anymore.",You shouldn't cheat on tests.,If you don't do your own work you won't learn anything and you can get in huge trouble at school.,He probably just really wanted the money to buy something expensive.,"When people find wallets, sometimes they get greedy and just keep the cash to buy cool stuff for themselves.",Stealing is bad and you shouldn't take things that aren't yours.,Because taking people's money is a crime and my parents always tell me to be honest.
R0077,IIR3,comic,He kept the cat because they both knew what it felt like to be made fun of by those mean kids.,"The story shows the cat shivering in the rain while the kids laughed at it. Since the cat helped the boy when he was crying earlier, he wanted to protect it because that's what true friends do for each other.",You should stand up for those who are treated badly instead of just following the mean crowd.,"In the comic the kids laughed at both the cat and the boy. Usually when you know what it feels like to be bullied in real life, you want to help someone else who is getting picked on too.",Sarah lied to the teacher because Rachel is her best friend and she felt pressured to protect her.,"The comic says they've been friends since they were toddlers and Rachel told her to keep quiet. It's really hard to snitch on your closest friend in real life because you don't want them to hate you, so she just covered for her.",True friends shouldn't put you in a bad spot and force you to lie for their mistakes.,"Rachel cheated just because she didn't study, and then she used their friendship as an excuse to make Sarah quiet. A real friend wouldn't force you to lie to a teacher and risk getting yourself in trouble.","Billy kept the wallet because it had exactly $300 for the red bike he wanted, and he let his greed take over.","In the comic his parents said no to the bike so he was mad. People sometimes make really bad choices when they want something badly, so he ignored the lady's feelings just to get his way.",Don't let your anger or greed make you do bad things to innocent people.,"He lied right to the lady's face just so he could buy a bike. In the real world, stealing someone's hard earned money just because you're mad at your parents is selfish and wrong."
R0078,IIR3,text,"Bruno kept the cat because he realized it actually cared about him when he was crying, while the other boys were just bullies. Pets give you unconditional love, which makes them way better friends than toxic people.","The cat tried to comfort him on the bench, but the kids just made fun of them and said he couldn't play basketball if he touched the cat. Bruno knew that real friends don't force you to be mean just to fit in.",It's better to stand up for what's right and choose people who actually care about you instead of just following the crowd to be popular.,"Bruno decided to adopt the cold, wet cat instead of listening to the mean kids who were laughing at it. He gave up playing basketball with them because he knew protecting an innocent animal was the right thing to do.","Sarah stays quiet because they have been best friends since they were toddlers. Usually, kids feel a lot of peer pressure to protect their friends because nobody wants to be a snitch or lose their closest friend.","Rachel whispered to Sarah not to tell on her specifically because they are best friends. It shows how loyalty can make people cover up bad behavior, which is exactly why Sarah ended up lying to Ms. Craig.",The lesson is that real friends shouldn't use your friendship as an excuse to make you do the wrong thing.,"Rachel didn't study, cheated off the kid in front of her, and then guilt-tripped Sarah into lying to the teacher. In real life, a good friend wouldn't put you in a stressful spot like that just to save themselves.","He kept it because he saw the $300 inside, which was exactly enough to buy the bike his dad refused to get him. Sometimes when people are angry and really want something, they let temptation make them do dishonest things.","The story says he was mad at his parents and wanted the bike really badly. In the real world, people who are desperate for money might take advantage of someone else's mistake, like a lady leaving her wallet on a table.",A good lesson is that you shouldn't let materialism and wanting cool stuff turn you into a bad person.,Billy stole the lady's wallet and lied right to her face just so he could buy that bike. It shows how being greedy and obsessed with getting what you want can totally ruin your morals.
R0079,IIR3,text,"He kept the cat because he realized the cat was a loyal friend who tried to make him feel better, while the other boys were just being mean to both of them.","The text says the cat purred and sat on his lap when he was crying, but the boys just laughed and made fun of the shivering cat. Usually, you realize who your real friends are when they comfort you, instead of fake friends who only like you if you follow their rules.","The lesson is to stand up for what is right and choose friends who actually care about you, instead of trying to look cool for bullies.",Bruno decided to take the cat home even though the boys said he couldn't play basketball with them if he did. It shows that having a companion who is there for you is way better than hanging out with toxic kids who just peer pressure you.,Sarah didn't tell on her because Rachel guilt-tripped her by saying they were best friends. It's really hard to snitch on your best friend in real life because you don't want them to hate you or stop being friends.,"Rachel whispered 'don't tell on me' and reminded Sarah of their friendship while she was copying answers. In school, peer pressure makes it really tough to do the right thing when your close friend might get in big trouble.",The lesson is that you shouldn't use your friends to cover up your own bad choices and put them in a bad spot.,"Rachel decided not to study and cheated, but then forced Sarah to lie to the teacher for her. A true friend wouldn't drag you into their mess and make you lie just because they were being lazy.","He kept the wallet because he was really mad his parents said no to the bike, and he saw the money as a quick way to get the $300 he needed.","The story says he found exactly $300 right after getting rejected by his dad and feeling mad. In real life, people sometimes do bad things like stealing when they are upset and let their wants control their actions.","A good lesson is that being selfish and stealing to get what you want is wrong, because you're hurting innocent people just for a toy.","I thought of this because Billy stole the lady's wallet just so he could buy the $300 bike he wanted. Usually, when people are that greedy, they only think about themselves and ignore how much it ruins someone else's day."
R0080,IIR3,comic,"He kept the cat because he realized the cat actually cared about him when he was crying, unlike the other kids who were just bullies. He knew what it felt like to be sad and lonely, so he wanted to give the cat a real home.","The story shows the cat comforting him on the bench, and later he calls the cat a real friend. People usually bond with animals that show them affection, especially when the people around them are acting like jerks.",It is better to be kind to those in need than to just follow the crowd to look cool.,"The red-headed boy eventually ignored the mean kids and adopted the wet cat. It takes courage to stand up to peer pressure, but doing the right thing like saving an animal is more important than what bullies think.","Sarah doesn't tell the teacher because Rachel reminded her they are best friends. In real life, people usually feel loyal to their friends and don't want to get them in trouble, even if they are doing something wrong like cheating.","The comic shows Rachel whispering that they are best friends, and I know from school that kids face a lot of peer pressure to protect their friends so they don't ruin the friendship.",You shouldn't let your friends pressure you into covering up their bad choices.,"Sarah lied to the teacher just because Rachel used their friendship as an excuse. Even though loyalty is important, covering up cheating just makes you part of the lie.","Billy kept the wallet because he saw there was exactly 300 dollars inside, which was the amount he needed for the red bike his parents refused to buy him. He let his selfish desire for the bike override his morals.","In the comic, he specifically thinks that he could buy the red bike with that money. It shows how temptation can make people do bad things like stealing when they really want something.","Don't let your greed make you steal from others, because someone else is getting hurt just so you can get what you want.","Billy lied to the lady's face when she was looking for her wallet just so he could get a bike. The lady was clearly upset, which proves that being selfish causes real harm to innocent people."
R0081,IIR3,text,"He kept the cat because he realized the boys weren't real friends since they bullied him and the cat. The cat actually cared about him when he was crying, so he chose the cat over the mean kids.","In the story his friends told him he couldn't play basketball if he touched the dirty cat, and laughed at them both. Usually real friends don't give you mean ultimatums like that, so he chose the animal who was actually loyal to him.","You should figure out who your real friends are and stick up for them, instead of trying to fit in with mean people.","Bruno called the cat a 'real friend' at the end after the boys laughed at it in the rain. In life, sometimes animals are better friends than people who just want to make fun of others to look cool.","Sarah doesn't say anything because Rachel is her best friend since they were toddlers, and Rachel guilt-tripped her into keeping the secret. She probably didn't want to lose her best friend.","The story literally says Rachel reminds her they are best friends to stop her from telling Ms. Craig. Normally, people are extremely loyal to their best friends and fear that telling on them will destroy the relationship forever, so she lied to protect her.","Sometimes peer pressure from your friends makes you do the wrong thing, like covering up a lie.","Rachel whispered 'I'm your best friend' to make Sarah keep quiet. In the real world, it's really hard to snitch on someone you've known since you were little because you don't want to ruin the friendship, even if you know they are cheating.","He kept it because he saw the $300 inside and wanted to buy that beautiful bike he saw at the beach, since his parents already said no. He was being greedy.","The story says he got mad when his parents refused to buy the expensive bike, and then he found exactly $300 in the wallet. When people get rejected, they sometimes take shortcuts and do bad things like stealing to get what they want.",You shouldn't let your own selfish wants make you do bad things to other people.,The text says Billy lied to the lady about her wallet just so he could get the $300 bike his dad wouldn't buy him. It shows how being jealous or wanting something too much in real life can turn you into a thief if you aren't careful.
R0082,IIR3,text,He kept the cat because he knew the cat was lonely and sad just like he was when he was crying earlier.,"The story says the cat tried to comfort him when he cried, so Bruno probably felt a deep bond with him, knowing exactly what it's like to be bullied and left out by those kids.",You should stay true to real friends instead of trying to look cool for mean people.,"In the story, Bruno ignored the boys making fun of the cat and kept him anyway. He realized having a loyal friend is way better than giving in to peer pressure from bullies.",She didn't tell the teacher because she was scared of losing her best friend and getting her in trouble.,"The story says they've been friends since they were toddlers, and usually loyalty makes you cover for your close friends even if they are doing something wrong like cheating on a test.",Sometimes doing the right thing is really hard when it involves people you care about.,Sarah had to choose between being honest with Ms. Craig and protecting Rachel. It shows how friendship can make you cover up bad stuff because you don't want to ruin a long relationship.,He kept it because he was being greedy and really wanted to buy that new $300 bike he saw.,"The text says his dad told him no to the bike, and when he saw exactly $300 in the wallet, his greed made him ignore his conscience and lie to the lady instead of being honest.",You shouldn't let your jealousy or wanting things make you do bad stuff to innocent people.,"Billy was mad his parents wouldn't buy him the bike, so he stole the lady's money. In real life, stealing money from someone who dropped their wallet makes you a bad person no matter how bad you want a toy."
R0083,IIR3,text,"Bruno realized the cat actually cared about him when he was sad, while those other boys were just mean bullies who only liked him if he acted like them.","The story showed the cat cheering him up when he was crying, but the kids just laughed at him. I know from experience that real friends love you no matter what, but fake friends just judge you, so Bruno chose the cat.",It's better to have one real friend who cares about your feelings than a bunch of fake friends who just want you to fit in.,"Bruno gave up playing basketball with the boys to take the dirty cat home. I think in life, you should stick with whoever is actually there for you instead of following bullies just to look cool.","Because they've been best friends since they were toddlers, and Sarah felt pressured to protect her so she wouldn't ruin their friendship.","Rachel literally whispered 'don't tell on me, I'm your best friend.' In school, it's really hard to snitch on your best friend because you don't want them to get in trouble or be mad at you.",True friends shouldn't put you in uncomfortable situations where you have to break the rules for them.,"Rachel decided to cheat on the math test and then made Sarah lie to the teacher about it. Good friends in the real world should study together, not cheat and make you lie to cover their tracks.",He kept it because he let his desire for the bike take over instead of doing the right thing. He figured the $300 in the wallet was his easy ticket to get what he wanted.,"The story says he looked in the wallet and saw exactly $300 and immediately thought about the red bike. Usually when people want something really bad, they might make selfish choices to get it.",You shouldn't let your own greed make you do bad things to other people.,"Billy wanted that expensive bike so bad that he lied to the lady and kept her money. In real life, stealing just makes you a thief, even if you are mad your parents won't buy you stuff."
R0084,IIR3,text,"Bruno kept the cat because he saw it was sad and shaking in the rain, and he realized the cat was actually a better friend to him than the boys who were bullying them.","In the text, the cat sat on his lap to comfort him when he was crying, and later the boys were just laughing at the wet cat. From my own experience, a real friend is someone who supports you when you are down, so he chose the cat over those jerks.","The lesson is that you shouldn't let bullies tell you who to care about, and true friends are the ones who are there for you.","The mean boys told Bruno he couldn't play basketball if he touched the dirty cat, but he helped it anyways. It shows that in life, you should stand up to peer pressure and choose real friends who care over being popular.","Sarah doesn't tell the teacher because Rachel has been her best friend since they were toddlers, and she doesn't want to be a snitch or get her in trouble.","The story says Rachel whispered 'Don't tell on me. I'm your best friend' when she got caught looking at the answers. I know that in middle school, kids usually feel pressured to keep their friends' secrets because nobody wants to lose a friend over a test.",Sometimes loyalty to a friend can put you in a really tough spot where you feel forced to cover up something bad.,"Rachel was copying the kid in front of her because she didn't study, and Sarah lied to the teacher to protect her. In real life, it's super hard to tell on your best friends even if they are cheating, because you don't want to ruin the friendship.","He kept the wallet because it had exactly $300 in it, which was how much the red bike cost. His parents wouldn't buy it for him, so he let his greed take over when he saw the easy money.","The story says he looked inside the wallet, saw the $300, and immediately said he could buy the bike. I know from life that when people want expensive things and are mad they can't get them, they might make bad choices if they find cash.",A good lesson is that you shouldn't let jealousy or wanting something bad make you do something wrong like stealing.,"I thought of this because Billy really wanted that $300 bike and his dad said no, so he kept the lady's wallet. In real life, it's easy to get tempted when you want something, but lying and stealing from people is selfish."
R0085,IIR3,comic,"He kept the cat because he remembered how it comforted him when he was sad, and he realized that having a loyal pet is way better than hanging out with bullies.","In the beginning the cat purred to him on the bench, and later the kids were being super cruel to it in the rain. I know from real life that you should stand up for those who care about you instead of giving in to peer pressure.","You should do the right thing and be kind, instead of letting mean people peer pressure you into acting cruel just to fit in.",The boy almost left the freezing cat because the kids threatened to kick him out of their basketball game. It teaches a lesson because true friends wouldn't force you to abandon a helpless animal just to look cool.,"Sarah didn't tell because Rachel reminded her that they are best friends, and usually kids are terrified of being called a snitch and losing their friends if they report them.",In the comic Rachel whispers 'I'm your best friend' to make her stay quiet. I know from middle school that people feel really bad getting their friends in trouble because the friend might hate them after.,Just because someone is your best friend doesn't mean you should cover up their bad choices and lie for them.,"Sarah lied to the teacher to protect Rachel's cheating. But in real life, letting your friends cheat doesn't actually help them learn, and lying can end up getting you in trouble too.","Billy kept it because he saw the exactly $300 he needed for the red bike his parents refused to buy him, and his greed made him ignore the fact that stealing is wrong.","The story shows him being mad at his parents and then looking at the money thinking about the bike. I thought of this because when people really want something bad enough, temptation can make them do selfish things.","You shouldn't steal from other people just to buy things you want, even if you are mad at your parents.",Billy lied right to the poor lady's face just so he could buy a bike. It shows a lesson because taking advantage of a stranger's mistake to get what you want is really selfish and hurts others.
